SESSION METADATA
participantID,hassan
sessionID,hassan_1
musicCondition,silence
game,starSearch
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-08T13:29:57.392Z
sessionDurationMs,297692
windowWidth,1625
windowHeight,1023
devicePixelRatio,1.5
responseWindowsMs,5000/4000/2500
fixationJitterMs,500-800
itemSizePx,56
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,searchType,setSize,targetItem,distractor1Item,distractor2Item,distractor1Count,distractor2Count,fixationDuration,targetX,targetY,clickX,clickY,clickDistance,clickedItemType,emptyClickCount
2,74,34,172406,saddlebrown_star,saddlebrown_star,1,1876,1085,0,conjunction,21,saddlebrown_star,purple_star,saddlebrown_hexagon,10,10,791,639,517,625,521,15,target,0
2,75,35,174282,timeout,green_hexagon,0,4512,4000,0,conjunction,21,green_hexagon,red_hexagon,green_pentagon,13,7,512,1016,339,-1,-1,-1,timeout,0
2,76,36,178816,saddlebrown_triangle,saddlebrown_triangle,1,2202,1508,0,conjunction,21,saddlebrown_triangle,gold_triangle,saddlebrown_circle,11,9,694,902,304,904,299,6,target,0
2,77,37,181018,gold_square,gold_square,1,1794,1085,0,conjunction,21,gold_square,deeppink_square,gold_pentagon,11,9,709,794,613,799,631,19,target,0
2,78,38,182812,royalblue_semicircle,royalblue_semicircle,1,2625,2002,0,conjunction,21,royalblue_semicircle,saddlebrown_semicircle,royalblue_square,13,7,623,1181,793,1177,783,11,target,0
2,79,39,185437,gold_circle,gold_circle,1,3470,2920,0,conjunction,21,gold_circle,darkorange_circle,gold_pentagon,13,7,550,1090,790,1099,789,9,target,0
2,80,40,188907,dimgray_triangle,dimgray_triangle,1,2413,1617,0,conjunction,21,dimgray_triangle,purple_triangle,dimgray_cross,12,8,796,1014,330,1025,331,11,target,0
3,81,1,193771,timeout,saddlebrown_pentagon,0,3151,2500,0,conjunction,41,saddlebrown_pentagon,deeppink_pentagon,saddlebrown_semicircle,21,19,651,576,560,-1,-1,-1,timeout,0
3,82,2,196933,royalblue_semicircle,royalblue_semicircle,1,2127,1620,0,conjunction,41,royalblue_semicircle,gold_semicircle,royalblue_square,25,15,507,778,696,773,691,7,target,0
3,83,3,199061,green_hexagon,green_hexagon,1,2289,1496,0,conjunction,41,green_hexagon,royalblue_hexagon,green_cross,21,19,793,982,627,1003,633,21,target,0
3,84,4,201350,darkorange_triangle,darkorange_triangle,1,2107,1607,0,conjunction,41,darkorange_triangle,deeppink_triangle,darkorange_star,20,20,500,645,693,651,679,15,target,0
3,85,5,203457,timeout,darkorange_triangle,0,3014,2500,0,conjunction,41,darkorange_triangle,red_triangle,darkorange_diamond,20,20,514,781,694,-1,-1,-1,timeout,0
3,86,6,206500,saddlebrown_star,saddlebrown_star,1,1819,1150,0,conjunction,41,saddlebrown_star,royalblue_star,saddlebrown_hexagon,22,18,669,776,423,783,433,12,target,0
3,87,7,208319,timeout,gold_circle,0,3255,2500,0,conjunction,41,gold_circle,darkorange_circle,gold_diamond,25,15,755,916,562,-1,-1,-1,timeout,0
3,88,8,211583,dimgray_diamond,dimgray_diamond,1,1453,876,0,conjunction,41,dimgray_diamond,gold_diamond,dimgray_ring,25,15,577,843,491,847,487,6,target,0
3,89,9,213036,purple_cross,purple_cross,1,2148,1505,0,conjunction,41,purple_cross,red_cross,purple_ring,22,18,643,645,359,646,358,2,target,0
3,90,10,215184,timeout,green_pentagon,0,3065,2500,0,conjunction,41,green_pentagon,darkorange_pentagon,green_square,21,19,565,911,495,-1,-1,-1,timeout,0
3,91,11,218265,deeppink_hexagon,deeppink_hexagon,1,1908,1303,0,conjunction,41,deeppink_hexagon,purple_hexagon,deeppink_star,25,15,605,777,560,779,563,3,target,0
3,92,12,220173,royalblue_ring,royalblue_ring,1,2469,1686,0,conjunction,41,royalblue_ring,darkorange_ring,royalblue_cross,25,15,783,777,491,781,502,12,target,0
3,93,13,222642,darkorange_cross,darkorange_cross,1,1882,1377,0,conjunction,41,darkorange_cross,purple_cross,darkorange_circle,22,18,505,1049,494,1044,488,8,target,0
3,94,14,224524,red_square,red_square,1,1640,1030,0,conjunction,41,red_square,darkorange_square,red_ring,25,15,610,848,624,858,637,16,target,0
3,95,15,226164,timeout,saddlebrown_cross,0,3159,2500,0,conjunction,41,saddlebrown_cross,red_cross,saddlebrown_star,25,15,659,710,492,-1,-1,-1,timeout,0
3,96,16,229333,darkorange_square,darkorange_square,1,2433,1811,0,conjunction,41,darkorange_square,purple_square,darkorange_hexagon,22,18,622,647,358,651,353,6,target,0
3,97,17,231766,darkturquoise_ring,darkturquoise_ring,1,1862,1111,0,conjunction,41,darkturquoise_ring,red_ring,darkturquoise_triangle,23,17,751,778,562,784,555,9,target,0
3,98,18,233629,darkturquoise_semicircle,darkturquoise_semicircle,1,1839,1334,0,conjunction,41,darkturquoise_semicircle,saddlebrown_semicircle,darkturquoise_star,25,15,505,715,558,726,548,15,target,0
3,99,19,235468,green_ring,green_ring,1,2820,2255,0,conjunction,41,green_ring,darkorange_ring,green_diamond,25,15,565,577,495,580,494,3,target,0
3,100,20,238288,green_circle,green_circle,1,1378,875,0,conjunction,41,green_circle,darkorange_circle,green_ring,20,20,503,710,490,709,493,3,target,0
3,101,21,239666,timeout,deeppink_triangle,0,3103,2500,0,conjunction,41,deeppink_triangle,red_triangle,deeppink_circle,25,15,603,983,491,-1,-1,-1,timeout,0
3,102,22,242789,saddlebrown_star,saddlebrown_star,1,2820,2309,0,conjunction,41,saddlebrown_star,gold_star,saddlebrown_pentagon,22,18,511,776,360,771,367,9,target,0
3,103,23,245609,timeout,gold_ring,0,3103,2500,0,conjunction,41,gold_ring,saddlebrown_ring,gold_pentagon,25,15,603,645,358,-1,-1,-1,timeout,0
3,104,24,248716,dimgray_semicircle,dimgray_semicircle,1,2575,2023,0,conjunction,41,dimgray_semicircle,royalblue_semicircle,dimgray_star,24,16,552,845,291,843,269,22,target,0
3,105,25,251291,royalblue_circle,royalblue_circle,1,2842,2134,0,conjunction,41,royalblue_circle,red_circle,royalblue_hexagon,20,20,708,777,696,786,695,9,target,0
3,106,26,254133,purple_diamond,purple_diamond,1,2113,1544,0,conjunction,41,purple_diamond,red_diamond,purple_triangle,25,15,569,713,492,711,495,3,target,0
3,107,27,256246,deeppink_circle,deeppink_circle,1,2333,1680,0,conjunction,41,deeppink_circle,royalblue_circle,deeppink_semicircle,20,20,653,646,696,662,697,16,target,0
3,108,28,258579,red_square,red_square,1,1977,1269,0,conjunction,41,red_square,saddlebrown_square,red_circle,25,15,708,643,697,625,707,20,target,0
3,109,29,260556,purple_star,purple_star,1,2806,2170,0,conjunction,41,purple_star,darkorange_star,purple_diamond,25,15,636,843,295,841,301,7,target,0
3,110,30,263362,dimgray_diamond,dimgray_diamond,1,2749,2091,0,conjunction,41,dimgray_diamond,royalblue_diamond,dimgray_star,21,19,658,914,559,933,560,19,target,0
3,111,31,266111,royalblue_triangle,royalblue_triangle,1,2444,1734,0,conjunction,41,royalblue_triangle,deeppink_triangle,royalblue_square,24,16,710,913,691,903,689,10,target,0
3,112,32,268555,timeout,gold_diamond,0,3019,2500,0,conjunction,41,gold_diamond,dimgray_diamond,gold_triangle,23,17,519,912,561,-1,-1,-1,timeout,0
3,113,33,271584,timeout,dimgray_pentagon,0,3171,2500,0,conjunction,41,dimgray_pentagon,deeppink_pentagon,dimgray_circle,22,18,671,1046,491,-1,-1,-1,timeout,0
3,114,34,274765,gold_star,gold_cross,-1,2129,1596,0,conjunction,41,gold_cross,darkturquoise_cross,gold_star,21,19,533,714,425,719,368,57,distractor,0
3,115,35,276894,purple_hexagon,purple_hexagon,1,2126,1517,0,conjunction,41,purple_hexagon,gold_hexagon,purple_ring,24,16,609,782,494,791,502,12,target,0
3,116,36,279020,red_semicircle,red_semicircle,1,2324,1794,0,conjunction,41,red_semicircle,darkorange_semicircle,red_pentagon,22,18,530,781,292,787,293,6,target,0
3,117,37,281344,timeout,deeppink_hexagon,0,3093,2500,0,conjunction,41,deeppink_hexagon,gold_hexagon,deeppink_triangle,25,15,593,981,628,-1,-1,-1,timeout,0
3,118,38,284448,darkturquoise_pentagon,darkturquoise_pentagon,1,1956,1301,0,conjunction,41,darkturquoise_pentagon,deeppink_pentagon,darkturquoise_cross,20,20,655,913,491,905,500,12,target,0
3,119,39,286404,red_square,red_square,1,2271,1489,0,conjunction,41,red_square,saddlebrown_square,red_pentagon,23,17,782,913,358,909,353,6,target,0
3,120,40,288675,darkturquoise_star,darkturquoise_star,1,2801,2178,0,conjunction,41,darkturquoise_star,saddlebrown_star,darkturquoise_circle,25,15,623,978,561,979,560,2,target,0
