SESSION METADATA
participantID,hassan
sessionID,01
musicCondition,silence
game,starSearch
inputDevice,mouse
phase,assessment
sessionStartUTC,2026-07-09T09:06:47.172Z
sessionDurationMs,279905
windowWidth,1634
windowHeight,962
devicePixelRatio,1.5
responseWindowsMs,5000/4000/2500
fixationJitterMs,500-800
itemSizePx,56
trialsPerLevel,40

TRIAL DATA
level,trialIndexGlobal,trialIndexLevel,trialStartMsFromSessionStart,response,correctResponse,result,responseMs,reactionTime,anticipatoryResponse,searchType,setSize,targetItem,distractor1Item,distractor2Item,distractor1Count,distractor2Count,fixationDuration,targetX,targetY,clickX,clickY,clickDistance,clickedItemType,emptyClickCount
3,83,3,186237,red_diamond,red_diamond,1,2146,1427,0,conjunction,41,red_diamond,royalblue_diamond,red_ring,23,17,719,580,531,590,532,10,target,0
3,84,4,188383,saddlebrown_cross,saddlebrown_cross,1,2201,1561,0,conjunction,41,saddlebrown_cross,darkturquoise_cross,saddlebrown_semicircle,24,16,640,781,263,772,265,9,target,0
3,85,5,190584,darkorange_hexagon,darkorange_hexagon,1,2577,1866,0,conjunction,41,darkorange_hexagon,dimgray_hexagon,darkorange_semicircle,25,15,711,915,598,886,606,30,target,0
3,86,6,193160,dimgray_ring,dimgray_ring,1,2146,1634,0,conjunction,41,dimgray_ring,darkorange_ring,dimgray_square,21,19,512,783,597,800,594,17,target,0
3,87,7,195306,darkorange_hexagon,darkorange_hexagon,1,2023,1293,0,conjunction,41,darkorange_hexagon,green_hexagon,darkorange_star,23,17,730,852,330,836,345,22,target,0
3,88,8,197329,timeout,purple_circle,0,3271,2500,0,conjunction,41,purple_circle,gold_circle,purple_diamond,21,19,771,918,460,-1,-1,-1,timeout,0
3,89,9,200619,red_semicircle,red_semicircle,1,3090,2320,0,conjunction,41,red_semicircle,deeppink_semicircle,red_diamond,21,19,770,849,599,862,579,24,target,0
3,90,10,203709,royalblue_circle,royalblue_circle,1,2862,2179,0,conjunction,41,royalblue_circle,red_circle,royalblue_hexagon,21,19,683,850,264,859,276,15,target,0
3,91,11,206571,green_diamond,green_diamond,1,2458,1787,0,conjunction,41,green_diamond,darkturquoise_diamond,green_triangle,21,19,671,1053,464,1058,472,9,target,0
3,92,12,209029,deeppink_ring,deeppink_ring,1,2291,1729,0,conjunction,41,deeppink_ring,purple_ring,deeppink_triangle,25,15,562,783,663,788,664,5,target,0
3,93,13,211319,gold_square,gold_square,1,2346,1810,0,conjunction,41,gold_square,purple_square,gold_diamond,23,17,536,584,527,595,532,12,target,0
3,94,14,213665,gold_triangle,gold_triangle,1,1715,1187,0,conjunction,41,gold_triangle,purple_triangle,gold_circle,24,16,528,986,595,982,587,9,target,0
3,95,15,215380,gold_ring,gold_ring,1,2604,1859,0,conjunction,41,gold_ring,deeppink_ring,gold_triangle,20,20,745,850,664,868,646,25,target,0
3,96,16,217984,gold_pentagon,gold_pentagon,1,2597,1895,0,conjunction,41,gold_pentagon,purple_pentagon,gold_circle,25,15,702,782,261,796,268,16,target,0
3,97,17,220581,saddlebrown_diamond,saddlebrown_diamond,1,2316,1655,0,conjunction,41,saddlebrown_diamond,royalblue_diamond,saddlebrown_square,25,15,661,915,663,902,634,32,target,0
